白岩松口才好，书法写得也不错	白岩松/nr
贵州一个市所有景区对游客免费，贵州旅游缘何热衷于免费？	一个市/ns
日本士兵誓死效命的天皇，为了一口粮食，却如此不堪，让士兵心寒	一口/ns
黑龙江一林场因雷击起火 武警出动直升机灭火	一林场/ns
「急！」五河县小溪镇一农场桑葚滞销，果农渴盼援手！	一农场/ns,小溪镇/ns
河北一市约谈滴滴 要求立即停止违规经营行为	一市/ns
一条青海——甘肃自驾游线路带给你！	一条青海/ns
你所说的是真的么？美航母打击叙境内伊斯兰国组织 舰长证实了	伊斯兰国/ns
万承奕：小学毕业的义乌枣农 让省农科院的专家刮目相看	义乌/ns,万承奕/nr
只有小学毕业的义乌枣农，培育出鲜枣新品种获得省农科院点赞	义乌/ns
关于易水湖景区大坝码头恢复营业的公告	易水/ns
最新！银川教育局通知，涉及招生、划片、入学年龄等！	银川/ns
中卫，银川三日游	银川/ns
银川房产经纪人10大酷刑，你中招了吗？	银川/ns
最新！银川新房、二手房每平价差500元！兴庆最贵，6***	银川/ns
英国人试图重新发明坦克：世界首台塑料战车亮相 颠覆你的认知	英国/ns
吸取教训 举一反三 迎泽区紧急开会部署火患排查	迎泽区/ns
汶川大地震把映秀镇夷为平地，废墟中国旗飘扬，国旗在家在！	映秀镇/ns
尤溪九阜山自然保护区实现建区17年无森林火灾	尤溪/ns,阜山/ns
尤溪县人武部组织民兵应急分队集中训练	尤溪县/ns,人武部组织民兵应急分队/nt
厦门人福利来啦！闽籍游客5、6月游宁夏4A级以上景区门票全免！	宁夏/ns
福建籍游客5、6月游宁夏4A级以上景区门票全免	宁夏/ns,福建/ns
福建籍游客夏季游宁夏 23家4A级以上景区免门票	宁夏/ns,福建/ns
5月1日~6月30日福建籍市民游宁夏23家景区门票免费	宁夏/ns,福建/ns
余杭208个小区二手房最新成交价公布！万元房还能找到吗？	余杭/ns
渔湾风景区	渔湾/ns
如何看待“广西玉林两名学生考上清华北大，每人获奖20万元”此类现象？	玉林/ns
广西玉林到三亚自驾游攻略？	玉林/ns
广东广西贵州自驾游记—D2 玉林谢鲁山庄-柳州尝荔枝	玉林/ns,鲁山庄/ns
玉屏2000万条茶籽芽忙嫁接	玉屏/ns
2018玉树又地震了	玉树/ns
青海玉树突发5.3级地震，影响有多大？	玉树/ns
青海玉树发生6.2级地震 青海消防总队玉树支队已做好出动准备	玉树/ns
青海玉树州称多县发生5.3级地震	玉树/ns,称多县/ns
青海玉树州发生5.3级地震	玉树州/ns
上联：西江月下西江美，如何对下联？	月下西江/ns
全球公认名誉最好的景区：月牙泉上榜，最后一个让你意想不到	月牙泉/ns
挖掘旅游潜力 敦煌月牙泉镇发展农家乐337家	月牙泉镇/ns
长沙岳麓区106名学生染艾滋病！请保持所有爱的纯净！	岳麓区/ns
忻州风景：忻州市云中河景区	云中河/ns
下周末，山西47个大景区免费！运城有10家···	运城/ns
消防头条防灾减灾宣传日 运城消防在行动	运城/ns
曝光！运城这三家单位存在重大火灾隐患	运城/ns
陕西柞水交警：重点交通违法行为集中整治持续发力	柞水/ns
沾益区：驻村队员送桌椅 助力脱贫攻坚工作	沾益区/ns
张家界天门山一日游	张家界/ns
长沙～张家界，小假3日游	张家界/ns
张家界旅游攻略，张家界天门山一日游	张家界/ns
张家界森林公园+大峡谷玻璃桥三日游	张家界/ns
张家界旅游攻略，张家界森林公园三日游	张家界/ns
张家界旅游攻略，上海到张家界森林公园二日游	张家界/ns
张家界旅游攻略，张家界森林公园+天门山二日游	张家界/ns
张家界旅游攻略，张家界森林公园+天门山三日游	张家界/ns
张家界旅游/自助游/自由行/自驾游最佳看景时间	张家界/ns
张家界旅游攻略，美女带你玩转张家界天门山一日游	张家界/ns
张家界旅游攻略，与美女相约张家界森林公园二日游	张家界/ns
张家界旅游自驾游、自驾车、火车、飞机航班路线指导	张家界/ns
张家界旅游攻略，难忘的张家界森林公园+天门山三日游	张家界/ns
张家界旅游攻略，相约张家界大峡谷玻璃桥+天门山二日游	张家界/ns
张家界国家森林公园两日游，要怎么样的路线，住宿求推荐	张家界/ns
张家界旅游攻略/自助游/自由行/自驾游最合适的行程路线	张家界/ns
张家界有哪些值得游玩的地方？有哪些世界之最？自驾游攻略	张家界/ns
最近几天到张家界，需要带什么衣服（自助游/自驾游/自由行）	张家界/ns
天津少年一人敢独闯张家界，再不疯狂就老了，萌化景区千万少女心	张家界/ns
张家界超级实用的张家界旅行攻略，张家界自驾游需不需要请导游？	张家界/ns
重庆到张家界自驾游，玻璃桥+玻璃栈道四天三晚行程应该如何安排？	张家界/ns
张家界大峡谷的B线和C线有什么区别？（自助游/自由行/自驾游）	张家界/ns
张家界自驾游，森林公园（武陵源）+天门山国家森林公园三日游	张家界/ns,天门山/ns,武陵源/ns
张家口统计局权威发布2017年房地产开发销售情况	张家口/ns
「重要消息」张家口个人住房公积金帐户余额可直接用于偿还公贷！	张家口/ns
张家口房价以什么为支撑，没有大型工业企业，工资都在3-4千之间，房价1.5？	张家口/ns
张家口消防检查10家加油站 整改火灾隐患18处	张家口/ns
章丘一日游之百脉泉公园	章丘/ns
母亲节，章丘这个景区女性可享半价优惠！	章丘/ns
福州连江琯头一日游：长门村中游，曲径通桃源	长门村/ns,通桃源/ns
假如美国控制中东地区，将会对世界经济军事产生何种影响？	中东/ns
中国史上有哪些著名的军事天才？	中国/ns
「小壹分享」中国式养老父母追随儿女进城成为“老年漂”	中国/ns
2018安徽省阳光人寿安庆中支招聘正式编制人员6人公告	中支/ns
南京最后一站——钟山风景区：在灵谷寺遇暴雨	钟山/ns,一站/ns,钟山/ns,一站/ns
周口一村庄杨絮着火，对付杨絮用啥方法好呢？	周口/ns
周宁：主动脉血管平滑肌细胞硬化是高血压治疗的新靶点	周宁/ns
同分值怎么录取 180分如何分配？周至县民办初中招生面谈评分标准	周至县/ns,民办初中/nt
泰州中航国旅推出华东五市+周庄+乌镇5日游1280元	周庄/ns
诸城32个小区房价出炉！看看诸城的二手房行情如何？	诸城/ns
解密：山东密州春酒缘何被诸城博物馆收藏	诸城/ns
「要闻」庄浪县组织收听收看全国及全省普通高校招生安全工作电视电话会议	庄浪县/ns
资溪交警公布5月份辖区低速车逾期未检验名单	资溪/ns
资溪：院长曾胜龙深入马头山林场指导防汛工作	资溪/ns
一场及时大雨滋润大地，资阳的农民朋友正忙着耕田插秧！	资阳/ns
资阳市学校防灾减灾应急宣传教育活动启动	资阳市/ns,资阳市/ns
滋贺县开始修复遭去年台风危害的彦根城外壁	滋贺县/ns,彦根城/ns
梓潼：前四个月商品房销售面积同比增长63.13%	梓潼/ns
宏观调控持续发力 自贡多管齐下调控房地产市场	自贡/ns
5月14日至5月20日 邹城这些景区对女性免费开放	邹城/ns
邹城农产品区域品牌名称全球创意征集大赛，召唤有创意的你！	邹城/ns
河北遵化廉政文化进景区	河北/ns,遵化/ns
驻马店市第十一小学 开展食品安全教育活动	驻马店市/ns,第十一小学/nt
驻马店：确保2018年高考各项工作安全平稳有序实施	驻马店/ns
郑州市二七区王庄小学防震逃生安全疏散演练隆重举行！	郑州市/ns,二七区王庄小学/nt
郑州航空港区湾王小学防震减灾安全疏散演练活动扎实、有效！	郑州/ns,港区湾王小学/nt
张店区南定小学积极参加2018年全省中小学安全文化建设现场研讨会	张店区/ns,南定小学/nt
沅江凌云塔学校2000学生开展防溺水及安全疏散活动	沅江/ns,凌云塔学校/nt
鱼台福田学校开展食品安全自查活动	福田/ns
校园氛围积极向上！上蔡县黄埠一中举办安全教育主题活动	上蔡县/ns
咸阳旬邑县司法局举办校园安全教育法治讲座	咸阳/ns,旬邑县司法局/nt
南阳市体育局精准扶贫“防溺水”安全教育走进寺湾镇小	南阳市/ns,寺湾镇/ns
南宁经开区教育系统防溺水安全教育扎实有效开展	南宁/ns,开区/ns
娄底市第一职业中学开展关爱生命健康防溺水安全教育宣讲	娄底市/ns,第一职业中学/nt
聊城召开2018年普通高校招生考试安全工作会议	聊城/ns
聊城市2018年普通高校招生考试安全工作电视会议召开	聊城市/ns
开封市二师附小举行“5.12”防灾减灾安全教育活动	开封市/ns,开封市/ns,二师附小/nt,二师附小/nt
九江双语实验学校幼教部开展防溺水安全教育活动	九江/ns,双语实验学校幼教部/nt
经开区龙背中心校开展防溺水安全知识专题教育活动	开区/ns
郏县新城中学举行“珍爱生命 预防溺水”安全教育及大型签字活动	郏县/ns,新城中学/nt
广元市利州区民族小学开展消防安全应急演练活动	广元市/ns,利州区民族小学/nt
恩阳区花丛小学举行女生青春期健康教育及安全教育讲座	恩阳区/ns
多措并举！上蔡县六小加强预防溺水安全教育	上蔡县/ns
东营为2018年普通高校招生考试安全做准备工作	东营/ns
大庆组织收看全国及全省高考安全电视电话会议	大庆/ns
慈利县组织收看收听全国高考安全工作电视电话会议	慈利县/ns
创平安校园 合江中学3000多师生饮上安全健康直饮水	合江/ns
“国家免费医学生”海南计划招生140人 只收农村生源	海南/ns
“教师的点拨不够高，会限制学生想象力”——名师重庆论剑教学	重庆/ns
昨天上午召开的会议！2018年江苏高考看这里……	江苏/ns
昨日今晨，潍坊的重要教育资讯	潍坊/ns
昨日暴雨未停课 厦门教育局要求加强住宿学生管理	厦门/ns,厦门/ns
“听说你们英国留学生都身价百万？”我自己怎么不知道……	英国/ns
最新消息！安徽出台中小学招生方案，家长们可要仔细看哦……	安徽/ns
最新数据！2018全国近三千人被清华北大降分录取！湖南数据抢眼！	湖南/ns
最新！重磅！安徽这6所高校纳入一本招生（附名单）	安徽/ns
最新！镜湖区政务区2018学区公布！你家孩子要上哪个学校？	镜湖区/ns,政务区2018学区/nt
最新！安徽多所高校纳入一本招生（名单）	安徽/ns
“中国第一考王”现年50岁，参加过21次高考，如今还在努力学习！	中国/ns
“中国十大名校”的词条发生这些之后  被封了！	中国/ns
「“三园”学校建设」正阳小学：育学生正气 造阳光校园	三园/ns,正阳/ns
「2019考研」如何选择适合自己的在职研究生专业/无锡宜兴MBA培训	无锡/ns,宜兴/ns
「奔走相告」准格尔旗2018沙薛两镇幼儿园秋季划片招生传来最新消息	准格尔旗/ns,薛两镇幼儿园/nt
「滨海发布」最全！滨海新区初中招生学片划分来了（附咨询电话）	滨海/ns,滨海新区/ns
最高加20分，还可破格录取！2018广东高考加分政策出炉！	广东/ns
「高考」高考志愿填报如何避免“高分低入”？滨州日报特邀专家来滨支招	滨州/ns
「工匠师生」意不意外？惊不惊喜？相不相信？南京这所职校175名学生通过本科省控数线	南京/ns
「公告通知」长沙市周南秀峰学校2018年直升生名单公示	长沙市/ns,周南秀峰学校/nt
综合评价招生报名开始了，山东5省属高校发布招生简章	山东/ns
综合评价招生报名开始！山东5省属高校发布招生简章	山东/ns
「聚焦」驿城区教体局召开2018年高考冲刺暨安全工作座谈会	驿城区/ns
子墨老师跟大家聊聊东莞2018名校自主招生学霸都出自哪些高中？	东莞/ns
「快讯」兴县收听收看2018年全国普通高校招生考试安全工作电视电话会议	兴县/ns
「扩散」青岛市区2018年幼儿园招生方案出炉！附最新收费标准……速收藏	青岛/ns
「留考攻略」如何才能通过日本留学生考试？	日本/ns
淄博中学举行冲刺高考特别升旗仪式	淄博/ns
「权威发布」黑龙江省2018年普通高校招生录取批次设置说明	黑龙江省/ns
资讯丨重庆共招150人！单独划线，提前批录取！国家免费医学生招生计划出炉！	重庆/ns
资讯丨2018广东高考考什么？如何考？敲黑板啦	广东/ns
「十年」高考将至 四川剑门关中学高三学子学习用品堆满过道	四川/ns
「填空题速解」2018厦门市高三理科毕业班5月质检	厦门市/ns
「喜讯！」淄博7人通过清华北大2018自主招生初审！	淄博/ns
「小司推荐」沧州｜毕业生档案邮寄地址在这里！	沧州/ns
「邀请函」第二届陕西区域MBA院校教育展暨2019年招生政策发布会	陕西/ns
「有线课堂」高考倒计时！山东有线互动点播新东方学堂，助你斩高分，赢高考！	山东/ns
「有线课堂」高考倒计时一个月！山东有线互动点播新东方学堂，助你斩高分，赢高考！	山东/ns
「招考快递」你知道2018年南京市高中阶段学校（含职业学校）考试招生工作是怎么安排的吗？	南京市/ns,职业学校/nt
「招生」栖霞区西岗幼儿园2018年秋季招生预告	栖霞区/ns
祝贺这些孩子们！济宁市有14人（次）通过清华北大自主招生初审	济宁市/ns
「直通校园」晋源区第三实验小学开展防灾减灾日教育活动	晋源区/ns,晋源区/ns,第三实验小学/nt,第三实验小学/nt
「直通校园」太原市第四实验小学校进行消防安全演练	太原市/ns,第四实验小学校/nt
「重磅」2018年山东专升本录取结果5月21日公布！	山东/ns
「重磅消息」衡水要求民办学校必须独立办学并严禁超规模招生！	衡水/ns
「重磅消息」武汉医学预科班招生计划，具体流程详解！	武汉/ns
「最新」2018年滨海新区初中招生学片划分公布	滨海新区/ns
100人选2！比河西开盘还震撼！今天，南京数万家长冒雨“赶考”	南京/ns,河西/ns
100人选2！比河西开盘还震撼！今天，南京数万家长冒雨“赶考”！	南京/ns,河西/ns
10所知名民族大学，西藏民族大学竟坐落于咸阳，有你在读的学校？	西藏/ns,咸阳/ns
10中国顶尖独立学院二本考生不错的选择	中国/ns,独立学院/nt
12日教育热点：1988-2018，116所小学从南京消失了	南京/ns,小学/nt
株洲考生注意！倒计时一个月 今年高考有这些新变化	株洲/ns
18年山东高考生580分能上211大学吗？	山东/ns,211大学/nt
1988-2018，116所小学从南京消失了	南京/ns,小学/nt
重要｜西充考生、家长们，这些考生可在四川高考录取中加分！	四川/ns
重要！湛江考生和家长：广东高考可填“不服从调剂”专业志愿了	广东/ns,湛江/ns
重庆一学校班主任收了学生学费后跑路了 学校：以后会加强管理	重庆/ns
重庆一小学体育老师罚学生赤脚跑操场磨出泡，当地教委介入	重庆/ns
重庆一小学体育老师罚学生赤脚跑操场脚底磨出泡 当地教委介入	重庆/ns
重庆一小学体育老师罚学生赤脚跑操场脚底磨出泡	重庆/ns
2017广东各大高校排名？	广东/ns
重庆小学老师罚学生赤脚跑操场：有孩子脚底磨出泡	重庆/ns
重庆文科生二模470分左右，可以报哪些重庆地区的学校？	重庆地区/ns,重庆/ns
重庆潼南一小学体育老师罚二年级学生 赤脚跑操场脚底磨出泡	重庆/ns,潼南一小学/nt
重庆潼南朝阳小学一体育老师罚学生赤脚跑操场 当地教委介入处理	重庆/ns
重庆某学校 请假还要贴家长身份证正面照	重庆/ns
重庆理科考生模拟考比重本线多60分，想读临床医学，能报哪些大学？	重庆/ns
2017年河南考生480分能上什么样二本医学院？	河南/ns,医学院/nt
重庆今年高考照顾政策出炉 符合下列条件可加5分或10分投档	重庆/ns
2017年四川高考各高校各专业一本，二本录取分数是多少？	四川/ns
重庆回应体育老师体罚学生赤脚跑步：将按规定作出相应处理	重庆/ns
重庆对四川的招生情况怎么样？	四川/ns,重庆/ns
2017重庆各大高校排名？	重庆/ns
重庆2018高考政策来了！符合这些条件可加5分或10分！	重庆/ns
重庆 符合这些条件 高考可加5分或10分	重庆/ns
2018北京朝阳区高三二模英语学科剖析+北京高考预测	朝阳区/ns,北京/ns
重磅丨清华大学2018年自主招生初审名单公布 陕西省36人入榜单！	陕西省/ns
重磅丨北京大学2018自主招生初审名单公布 陕西67人通过（附名单）	陕西/ns
重磅｜2018天津普通高等学校招生工作、志愿填报、录取等规定发布	天津/ns,普通高等学校/nt
重磅！四川省2018年高考方案公布，全面取消特长生等加分项目	四川省/ns
重磅！四川省2018年高考方案出炉	四川省/ns
重磅！四川2018年普通高校招生实施规定出台	四川/ns
重磅！清华北大今年自主招生名单公布，珠海4人上线	珠海/ns
重磅！宁夏调整和规范高考加分项目及分值！	宁夏/ns
重磅！2018学年中山市义务教育阶段直属中小学招生方案公布	中山市/ns
重磅！2018年天津市普通高等学校招生工作规定公布	天津市/ns,普通高等学校/nt
重磅！2018年秋季学期九江部分小学实行弹性上学试点	九江/ns,部分小学/nt
重磅！2018广州各区多所名校举办小升初开放日，家长别错过！	广州/ns
2018高考：英国本科名校申请，对高考“独木桥”说NO	英国/ns
钟山区大湾镇组织木冲沟中学开展禁毒文艺演出及校园周边禁毒宣传活动	钟山区/ns,木冲沟中学/nt
中职学生有机会“直通”本科，利好政策再袭浙江学生	浙江/ns
中职学生可以“直通”本科！浙江试点开展中职与应用型本科一体化人才培养	浙江/ns
2018广东高考和6月份高中学考科目时间安排出炉！	广东/ns
2018广东高考考什么？如何考？	广东/ns
2018广东省考笔试成绩查询入口｜时间	广东省/ns
2018河北理科考生二模578.5能报考什么大学？	河北/ns
中山市直属小学一年级招生电脑派位6月20日举行	中山市/ns,直属小学/nt
中山18名学霸通过清华北大自主招生初审！哪所高中最受青睐？	中山/ns
中山1.7万余学子报名参加今年高考	中山/ns
2018年北京高考，这8种情况下的学生可以加分照顾或优先录取！	北京/ns
2018年春季音乐类各层次考生招生计划—衢州衍声高考琴行	衢州/ns
2018年东北师范大学在山东的招生情况如何？	山东/ns,东北师范大学/nt
2018年度中山积分入学等指标公布，家长快看	中山/ns
2018年高考倒计时30天！江苏高考权威信息都在这里！	江苏/ns
2018年高考后，还有哪些英国预科课程来得及申请？	英国/ns
2018年高考考生请注意！广西高考志愿填报演练今天开始！	广西/ns
2018年高考陕西文科550能上哪些师范院校？	陕西/ns
2018年广东高考不好好努力，上大学形势非常严峻	广东/ns
2018年广东高考深圳大学录取预计排位是多少？	广东/ns
2018年广东高考文科520分能上什么大学？	广东/ns
2018年广东文科生二模490左右，能报广东哪些学校？	广东/ns
2018年海门市“心理阳光工程”未成年人心理健康教育、家庭教育百校行活动正式启动	海门市/ns
2018年海门市“心理阳光工程”未成年人心理健康教育、家庭教育百校行启动仪式在平山小学举行	海门市/ns,百校行/nt,平山小学/nt
2018年河南高考考生有多少？	河南/ns
2018年湖北文科考生，560分可以上什么大学？有什么推荐的专业？	湖北/ns
2018年湖南理科440分能报哪些二本学校？	湖南/ns,二本学校/nt
2018年湖南文科3000名能上什么大学？	湖南/ns
2018年南京中考加分今起申请！申报贴士看这里	南京/ns
2018年清华、北大自主招生初审名单公布，北京最多	北京/ns
2018年清华北大公布保送生拟录名单 湖南34名学生在列	湖南/ns
2018年山东春季高考开考，招生录取时间表出炉	山东/ns
2018年山东省高考人数	山东省/ns
2018年山东一模理科535分，报什么大学好？	山东/ns
2018年陕西26.8万人高考！附近11年在陕高考人数变化及影响	陕西/ns
2018年陕西高考报考总人数超31万	陕西/ns
2018年陕西高考总人数26.8万人！分析陕西高考人数变化及其影响！	陕西/ns
2018年陕西高校综合实力排名是怎样的？	陕西/ns
2018年上海高考时间表出炉 将于6月7日-9日举行	上海/ns
2018年上海高考时间公布｜为6月7、8、9日！	上海/ns
2018年上海高考时间和安排确定	上海/ns
2018年上海高考时间和安排确定！	上海/ns
2018年深圳市中考英语听说考试流程安排、注意事项及答题技巧	深圳市/ns
2018年四川高考：全面取消特长生等加分项目	四川/ns
2018年四川高考及招生录取工作时间安排表	四川/ns
2018年四川高考新规出台 专家提醒：“体检”要求不容忽视！	四川/ns
2018年四川高三理科学生，平时能考560分左右，能上一本的大学吗？	四川/ns
2018年四川高三文科三模528分，省内能上哪些学校？	四川/ns
2018年四川理科考生500分左右能报哪些学校？	四川/ns
2018年四川理科考生570分能上哪些学校？	四川/ns
2018年泰安市各县市区高中招生计划表	泰安市/ns,高中/nt
2018年潍坊市普通高考共报名72534人	潍坊市/ns
2018年西安城区30所民办初中最新收费标准、“摇号”地点公布！	西安/ns,民办初中/nt
2018年西藏第一批考录笔试成绩可以查询啦！仅1165名考生合格！	西藏/ns
2018年漳州市民办学校初一年级招生工作意见出台	漳州市/ns
2018年长沙中考指标生计划分配表，附填报注意事项	长沙/ns
2018年浙江高考志愿填报指南	浙江/ns
2018年重庆普通高考招生信息整理	重庆/ns
2018清北自主招生500强高中排行榜发布，四川有这些中学上榜！	四川/ns
2018清华大学在河南省的招生是多少？	河南省/ns
2018山东高考招生咨询会拉开帷幕 助力考生成功选择大学	山东/ns
2018山东理科560分能上什么大学？	山东/ns
2018山东文科二模成绩在517分左右，能上什么大学？	山东/ns
2018山东夏季高考时间和科目这么安排！4类考生可加分	山东/ns
2018山东夏季高考时间科目安排情况！来看看你家娃能不能加分？	山东/ns
2018山东夏季高考时间科目这么安排 4类考生可加分	山东/ns
2018山西理科470分可以报哪些大学的计算机专业？	山西/ns
2018四川高考报考武汉大学如何了解各专业录取分线？	四川/ns
2018四川高考录取照顾政策出台，符合这些条件将优先录取！	四川/ns
2018四川高考实施规定出台 考试时间科目不变 使用全国卷	四川/ns
2018四川普通高校招生工作规定出台，今年6月7、8日高考！	四川/ns
2018四川文科一模考试600分能上哪些大学？	四川/ns
2018新高考元年，浙沪顶级专家齐聚武汉开展新高考3+3公益讲座	武汉/ns
2018学年中山市义务教育阶段 直属中小学招生方案公布	中山市/ns
2018浙江高考规定出台 共计30.6万考生报名	浙江/ns
郑州小升初｜这些特色班实验班家长必看！	郑州/ns
2018中国最好大学排名，天津高校排名如何？	中国/ns,天津/ns
珍爱生命 预防溺水 雅安外实小开展安全教育活动	雅安/ns
珍爱生命 谨防溺水——淅川县寺湾镇大坪小学防溺水活动阶段总结	淅川县/ns,寺湾镇/ns
浙江新高考闹乌龙，十年寒窗高分却只能上三本，责任究竟在谁？	浙江/ns
浙江新高考录取最火专业竟然是口腔医学，为什么这么多人想学牙医？	浙江/ns
浙江省的985、211大学只有浙大，是否可以说浙江省的大学教育质量差？	浙江省/ns,大学/nt
浙江今年高考人数首破30万人	浙江/ns
245分文科能上什么学校？山西？	山西/ns
485分山东文科能上什么学校？	山东/ns
这很可怕！中国老师开始害怕学生了……	中国/ns
安徽72名高考生获北大、清华录取“优惠券”	安徽/ns
安徽72名高考生通过清华、北大自主招生审核！太牛，最高可降60分录取！	安徽/ns
安徽理科生每年高考前多少名可以达二本线？	安徽/ns
安徽理科生三模考了500分高考有机会考上一本吗？	安徽/ns
安徽毛坦厂中学吸引学生就读的“两大法宝”	安徽/ns,毛坦厂中学/nt
蚌埠家长呼吁：历史开卷，取消月考，市教育局作出回应	蚌埠/ns
保送生拟录取名单公布，这些孩子将不再参加河南高考！	河南/ns
北大清华公布今年自主招生初审名单 重庆138人通过	重庆/ns
北大清华公布今年自主招生初审名单 重庆138人通过赶超四川	四川/ns,重庆/ns
北大清华公布自主招生初审名单 绍兴30名学生上榜	绍兴/ns
北大清华公示自主招生初审名单 湖北近百人通过初审资格	湖北/ns
北大清华自主招生初审湖北学生表现亮眼，华师一36人过关位列前十	湖北/ns
北大清华自主招生初审名单出炉 来看看宁波有多少学子上榜	宁波/ns
北大清华自主招生初审名单公布 东营29人上榜	东营/ns
北海家长注意！海城区小学开始招生啦！与往年不同	北海/ns,海城区/ns
北京：高中合格性考试8日起网上报名	北京/ns
北京“新高考”首次合格性考试报考系统今天开放	北京/ns
北京“新高考”首次合格性考试今起报考	北京/ns
北京“新高考”首次合格性考试今起报考 开考八个学科	北京/ns
北京本地人心中对北京各高校大学的排名？	北京/ns,北京各高校大学/nt
北京大学公布自主招生初审名单 湖南122名考生入选	湖南/ns
北京家长留意！9所高中发布2018招生计划，附2017分数线&报考条件	北京/ns
北京家长注意！这几个区本周开始办理回户籍所在地小升初	北京/ns
云择校数据解析沈阳农业大学录取数据	沈阳/ns,农业大学/nt
云择校数据解析沈阳建筑大学录取数据	沈阳/ns
预约抢座！广东名校招生办教你填志愿，3万惠州高考生仅120个名额	广东/ns,惠州/ns
预防小学生沉迷手机，江津这个小学有妙招	江津/ns
预防溺水从我做起！遂平县三中开展安全教育系列活动	遂平县/ns
预测甘肃高考录取分数线？	甘肃/ns
滨州中小学2018年暑假时间确定 家长们准备接招吧	滨州/ns
滨州中小学2018年暑假时间确定！家长们准备接招吧！	滨州/ns
榆社县中小学幼儿园预防校园欺凌现场会在职业中学召开	榆社县/ns,中小学幼儿园/nt
榆次大学城有多少所本科学校？	榆次/ns
渝北区招生方案公布 八中渝北校区招生范围划定	渝北区/ns
幼升小丨东城区小学排名与重点小学划片范围（附划片查询地址）	东城区/ns,重点小学/nt
又是一年高考时 今年广西高考考生将首破40万人 再创历史新高	广西/ns
永安三中高中部紧抓管理不放松 严把校园安全秩序关	永安/ns
宜昌考生注意！高考倒计时，这些新变化你必须知道！	宜昌/ns
宜昌90后女教师高考前带伤讲课	宜昌/ns
宜宾考生注意！倒计时一个月 今年高考有这些新变化→	宜宾/ns
依法治考 海南部署2018普通高校招生考试安全工作	海南/ns
一切为了孩子安全-延津县检察院联合开展青少年防震演练和法治教育活动	延津县/ns
滁州学院信息学院2018考研录取人数再创新高	滁州/ns,学院信息学院/nt
春季高考5月12日至13日举行 我市在广饶一中设考点	广饶/ns
春季高考本周六开考 济宁5665人参加笔试 数学等科目可带函数型计算器	济宁/ns
大家怎么看南昌女孩被“全球最难考”大学录取，奖学金200万，却称还没想好去不去？	南昌/ns
大数据｜全国教育经费投入更多！中国人更加重视教育！	中国/ns
学校举债学生捐款英山一中捐款事件最新：所收资金已退还	英山/ns
德阳两所学校获评“国家防震减灾科普示范学校”	德阳/ns
德阳市华山路学校举行防震减灾应急疏散演练	德阳市/ns,华山路学校/nt
德阳市两所学校获评“国家防震减灾科普示范学校”	德阳市/ns
定边县第二中学召开安全警示教育大会	定边县/ns,第二中学/nt
定了！2018广东高考加分和优先录取政策，与你息息相关	广东/ns
定了！2018年江苏高考的那些事儿，看这里……	江苏/ns
定了！2018年四川省高考实施规定出台，考试时间和科目不变	四川省/ns
定了！2018山东夏季高考时间和科目这么安排	山东/ns
定了！今年上海高考时间6月7、8、9日！	上海/ns
定了！深圳自主招生6月1日—4日报名，7月1日面试+人机对话！	深圳/ns
定了！深圳自主招生6月1日—4日报名，新增二外自招！	深圳/ns
东莞部分儿童小升初要做亲子鉴定？教育办：造假太多	东莞/ns
东莞的公办学校好还是私立学校好 积分入学不够怎么办	东莞/ns,公办学校/nt
东莞虎门太平小学要求入读公办小学需要提供亲子鉴定证明	东莞/ns,虎门太平小学/nt,公办小学/nt
东莞家长，孩子积分入学，社保分数能用微信直接查询了	东莞/ns
东莞入读公办学校需做亲子鉴定，你怎么看？	东莞/ns,公办学校/nt
东莞一孩子想读公办学校，被要求做亲子鉴定	东莞/ns,公办学校/nt
形势严峻！千万高考大军在奋战，留学澳洲的五种选择重磅出炉！	澳洲/ns
东坡区崇礼小学增强师生防震减灾意识 提高逃生自救能力	东坡区/ns,崇礼小学/nt
东坡区柳圣小学开展防震减灾应急疏散演练活动	东坡区/ns,柳圣小学/nt
东营考生 今年10所高校在我省开展综合评价招生试点	东营/ns
新高考改革，浙江高考选物理考生不到3成，且“弃物理”趋势一直蔓延，你怎么看？	浙江/ns
二本大学文科分比较低的大学有哪些（最好是四川）？	四川/ns,二本大学/nt
二诊成绩是478.5，能报重庆的哪些学校？	重庆/ns
发现沈阳一线教师在外面补课，应该怎么举报？	沈阳/ns
防溺水工作 常抓不懈 警钟长鸣 淅川县滔河乡黄龙庙小学	淅川县/ns,滔河乡黄龙庙小学/nt
防灾减灾主题活动走进成都一所幼儿园，孩子们以游戏的形式学习安全防范知识，你怎么看这样的形式？	成都/ns,成都/ns
福建2018年高考报名人数达20万余人 今年可加分项目有哪些	福建/ns
福建20万考生6月迎战高考 今年福建取消两类加分	福建/ns
福建20万考生下月迎战高考 今年福建取消两类加分	福建/ns
福建20万考生迎战2018年高考 高考加分政策有变化	福建/ns
福建56名考生通过清华北大自招初审 清华27名北大29名	福建/ns
福建56名学霸通过清华北大2018自主招生初审！这些中学名列前茅！	福建/ns
福建省2018年普通高考外语口试本月14日开始报名	福建省/ns
淅川县寺湾镇中心学校：开展学生夏季“防溺水”安全教育	淅川县/ns,寺湾镇中心学校/nt
淅川县金河镇中心学校举行防溺水安全知识竞赛	淅川县/ns
西平产业集聚区中心校积极开展防溺水安全教育	西平/ns,产业集聚区中心校/nt
